k01 masked,0.249886,-0.249886,0.499886,24.988612,1
k02 masked,1.249944,-0.249563,1.499829,93.756431,4
k03 masked,3.155789,-0.249113,4.031218,81.231556,13
k04 masked,7.851014,-0.246361,9.911891,90.620200,37
k05 masked,18.639129,-0.240782,23.114095,100.000000,97
k06 masked,41.769627,-0.235792,52.138874,98.041706,241
k07 masked,92.112194,-0.242676,115.020076,100.000000,577
k08 masked,200.018611,-0.234612,249.814695,100.000000,1345
k09 masked,429.436030,-0.183748,536.461261,100.000000,3073
k10 masked,913.530229,-0.019940,1141.937144,100.000000,6913
k11 masked,1930.713173,0.135516,2413.859555,100.000000,15361
k12 masked,4058.312123,0.481372,5074.970253,100.000000,33793
k13 masked,8489.798618,1.927772,10619.628806,100.000000,73729
k14 masked,17697.158230,3.301468,22140.860161,100.000000,151553
k15 masked,36782.521291,2.475100,46022.529096,100.000000,303105
k16 masked,76221.093327,-7.771044,95379.285163,100.000000,655363
k17 masked,152068.924335,-11.563940,190295.176846,100.000000,1261571
k18 masked,298301.227920,-54.694820,373221.403628,100.000000,2506755
k19 masked,579687.379752,-27.366308,725123.546815,100.000000,4800515
k20 masked,1119423.531070,-54.498212,1400097.638219,100.000000,9207847
k21 masked,2151440.484842,-343.905188,2690139.476119,99.999962,17858599
k22 masked,4113079.751909,73.821276,5142121.908266,99.999975,33587239
